ORTHO,PHON,GPMATCH
habitaient,abitE,(h-#.a-a.b-b.i-i.t-t.ai-E.e-#.n-#.t-#)
habitait,abitE,(h-#.a-a.b-b.i-i.t-t.ai-E.t-#)
habitant,abit@,(h-#.a-a.b-b.i-i.t-t.an-@.t-#)
habitant,abit@,(h-#.a-a.b-b.i-i.t-t.an-@.t-#)
habitante,abit@t,(h-#.a-a.b-b.i-i.t-t.an-@.t-t.e-#)
habitantes,abit@t,(h-#.a-a.b-b.i-i.t-t.an-@.t-t.e-#.s-#)
habitants,abit@,(h-#.a-a.b-b.i-i.t-t.an-@.t-#.s-#)
habitat,abita,(h-#.a-a.b-b.i-i.t-t.a-a.t-#)
habitation,abitasj§,(h-#.a-a.b-b.i-i.t-t.a-a.t-s.i-j.on-§)
habitations,abitasj§,(h-#.a-a.b-b.i-i.t-t.a-a.t-s.i-j.on-§.s-#)
habitats,abita,(h-#.a-a.b-b.i-i.t-t.a-a.t-#.s-#)
habite,abit,(h-#.a-a.b-b.i-i.t-t.e-#)
habité,abite,(h-#.a-a.b-b.i-i.t-t.é-e)
habité,abite,(h-#.a-a.b-b.i-i.t-t.é-e)
habitée,abite,(h-#.a-a.b-b.i-i.t-t.é-e.e-#)
habitée,abite,(h-#.a-a.b-b.i-i.t-t.é-e.e-#)
habitées,abite,(h-#.a-a.b-b.i-i.t-t.é-e.e-#.s-#)
habitent,abit,(h-#.a-a.b-b.i-i.t-t.e-#.n-#.t-#)
habiter,abite,(h-#.a-a.b-b.i-i.t-t.er-e)
habiterai,abitRE,(h-#.a-a.b-b.i-i.t-t.e-#.r-R.ai-E)
habiterais,abitRE,(h-#.a-a.b-b.i-i.t-t.e-#.r-R.ai-E.s-#)
habiterait,abitRE,(h-#.a-a.b-b.i-i.t-t.e-#.r-R.ai-E.t-#)
habiterons,abitR§,(h-#.a-a.b-b.i-i.t-t.e-#.r-R.on-§.s-#)
habites,abit,(h-#.a-a.b-b.i-i.t-t.e-#.s-#)
habités,abite,(h-#.a-a.b-b.i-i.t-t.é-e.s-#)
habitez,abite,(h-#.a-a.b-b.i-i.t-t.ez-e)
habitions,abitj§,(h-#.a-a.b-b.i-i.t-t.i-j.on-§.s-#)
habitons,abit§,(h-#.a-a.b-b.i-i.t-t.on-§.s-#)
habits,abi,(h-#.a-a.b-b.i-i.t-#.s-#)
habitua,abit8a,(h-#.a-a.b-b.i-i.t-t.u-8.a-a)
habituaient,abit8E,(h-#.a-a.b-b.i-i.t-t.u-8.ai-E.e-#.n-#.t-#)
habituât,abit8a,(h-#.a-a.b-b.i-i.t-t.u-8.â-a.t-#)
habitude,abityd,(h-#.a-a.b-b.i-i.t-t.u-y.d-d.e-#)
habitudes,abityd,(h-#.a-a.b-b.i-i.t-t.u-y.d-d.e-#.s-#)
habitue,abity,(h-#.a-a.b-b.i-i.t-t.u-y.e-#)
habitué,abit8e,(h-#.a-a.b-b.i-i.t-t.u-8.é-e)
habitué,abit8e,(h-#.a-a.b-b.i-i.t-t.u-8.é-e)
habitué,abit8e,(h-#.a-a.b-b.i-i.t-t.u-8.é-e)
habituée,abit8e,(h-#.a-a.b-b.i-i.t-t.u-8.é-e.e-#)
habituées,abit8e,(h-#.a-a.b-b.i-i.t-t.u-8.é-e.e-#.s-#)
habituel,abit8El,(h-#.a-a.b-b.i-i.t-t.u-8.e-E.l-l)
habituelle,abit8El,(h-#.a-a.b-b.i-i.t-t.u-8.e-E.ll-l.e-#)
habituellement,abit8Elm@,(h-#.a-a.b-b.i-i.t-t.u-8.e-E.ll-l.e-#.m-m.en-@.t-#)
habituelles,abit8El,(h-#.a-a.b-b.i-i.t-t.u-8.e-E.ll-l.e-#.s-#)
habituels,abit8El,(h-#.a-a.b-b.i-i.t-t.u-8.e-E.l-l.s-#)
habituent,abity,(h-#.a-a.b-b.i-i.t-t.u-y.e-#.n-#.t-#)
habituer,abit8e,(h-#.a-a.b-b.i-i.t-t.u-8.er-e)
habituèrent,abit8ER,(h-#.a-a.b-b.i-i.t-t.u-8.è-E.r-R.e-#.n-#.t-#)
habitués,abit8e,(h-#.a-a.b-b.i-i.t-t.u-8.é-e.s-#)
habitués,abit8e,(h-#.a-a.b-b.i-i.t-t.u-8.é-e.s-#)
hâbleur,Abl9R,(h-#.â-A.b-b.l-l.eu-9.r-R)
hache,aS,(h-#.a-a.ch-S.e-#)
hache,aS,(h-#.a-a.ch-S.e-#)
haché,aSe,(h-#.a-a.ch-S.é-e)
hachée,aSe,(h-#.a-a.ch-S.é-e.e-#)
hachée,aSe,(h-#.a-a.ch-S.é-e.e-#)
hachées,aSe,(h-#.a-a.ch-S.é-e.e-#.s-#)
hachées,aSe,(h-#.a-a.ch-S.é-e.e-#.s-#)
hacher,aSe,(h-#.a-a.ch-S.er-e)
haches,aS,(h-#.a-a.ch-S.e-#.s-#)
hachés,aSe,(h-#.a-a.ch-S.é-e.s-#)
hachette,aSEt,(h-#.a-a.ch-S.e-E.tt-t.e-#)
hachette,aSEt,(h-#.a-a.ch-S.e-E.tt-t.e-#)
hachez,aSe,(h-#.a-a.ch-S.ez-e)
hachis,aSi,(h-#.a-a.ch-S.i-i.s-#)
hachoir,aSwaR,(h-#.a-a.ch-S.oi-wa.r-R)
hachure,aSyR,(h-#.a-a.ch-S.u-y.r-R.e-#)
hachurée,aSyRe,(h-#.a-a.ch-S.u-y.r-R.é-e.e-#)
hachurées,aSyRe,(h-#.a-a.ch-S.u-y.r-R.é-e.e-#.s-#)
hachures,aSyR,(h-#.a-a.ch-S.u-y.r-R.e-#.s-#)
haddock,adok,(h-#.a-a.dd-d.o-o.ck-k)
hagard,agaR,(h-#.a-a.g-g.a-a.r-R.d-#)
hagarde,agaRd%,(h-#.a-a.g-g.a-a.r-R.d-d.e-%)
hagards,agaR,(h-#.a-a.g-g.a-a.r-R.d-#.s-#)
haï,ai,(h-#.a-a.ï-i)
haie,E,(h-#.ai-E.e-#)
haies,E,(h-#.ai-E.e-#.s-#)
haïkaï,aikai,(h-#.a-a.ï-i.k-k.a-a.ï-i)
haillonneux,Ajon9,(h-#.a-A.ill-j.o-o.nn-n.eu-9.x-#)
haillons,Aj§,(h-#.a-A.ill-j.on-§.s-#)
haine,En,(h-#.ai-E.n-n.e-#)
haineuse,En9z,(h-#.ai-E.n-n.eu-9.s-z.e-#)
haïr,aiR,(h-#.a-a.ï-i.r-R)
haïssais,aisE,(h-#.a-a.ï-i.ss-s.ai-E.s-#)
haïssait,aisE,(h-#.a-a.ï-i.ss-s.ai-E.t-#)
haïssons,ais§,(h-#.a-a.ï-i.ss-s.on-§.s-#)
hait,E,(h-#.ai-E.t-#)
halage,alaZ,(h-#.a-a.l-l.a-a.g-Z.e-#)
halâmes,alam,(h-#.a-a.l-l.â-a.m-m.e-#.s-#)
halant,al@,(h-#.a-a.l-l.an-@.t-#)
haleine,alEn,(h-#.a-a.l-l.ei-E.n-n.e-#)
hâlés,Ale,(h-#.â-A.l-l.é-e.s-#)
haletaient,altE,(h-#.a-a.l-l.e-#.t-t.ai-E.e-#.n-#.t-#)
haletait,altE,(h-#.a-a.l-l.e-#.t-t.ai-E.t-#)
haletant,alt@,(h-#.a-a.l-l.e-#.t-t.an-@.t-#)
haletant,alt@,(h-#.a-a.l-l.e-#.t-t.an-@.t-#)
haletante,alt@t,(h-#.a-a.l-l.e-#.t-t.an-@.t-t.e-#)
haletantes,alt@t,(h-#.a-a.l-l.e-#.t-t.an-@.t-t.e-#.s-#)
haletants,alt@,(h-#.a-a.l-l.e-#.t-t.an-@.t-#.s-#)
halète,alEt,(h-#.a-a.l-l.è-E.t-t.e-#)
halètement,alEtm@,(h-#.a-a.l-l.è-E.t-t.e-#.m-m.en-@.t-#)
haleter,alte,(h-#.a-a.l-l.e-#.t-t.er-e)
haley,alE,(h-#.a-a.l-l.ey-E)
hall,Ol,(h-#.a-O.ll-l)
hallali,alali,(h-#.a-a.ll-l.a-a.l-l.i-i)
halle,al,(h-#.a-a.ll-l.e-#)
hallebarde,albaRd%,(h-#.a-a.ll-l.e-#.b-b.a-a.r-R.d-d.e-%)
hallebardes,albaRd%,(h-#.a-a.ll-l.e-#.b-b.a-a.r-R.d-d.e-%.s-#)
halles,al,(h-#.a-a.ll-l.e-#.s-#)
hallier,alje,(h-#.a-a.ll-l.i-j.er-e)
hallucinant,alysin@,(h-#.a-a.ll-l.u-y.c-s.i-i.n-n.an-@.t-#)
hallucination,alysinasj§,(h-#.a-a.ll-l.u-y.c-s.i-i.n-n.a-a.t-s.i-j.on-§)
hallucinatoires,alysinatwaR,(h-#.a-a.ll-l.u-y.c-s.i-i.n-n.a-a.t-t.oi-wa.r-R.e-#.s-#)
halluciné,alysine,(h-#.a-a.ll-l.u-y.c-s.i-i.n-n.é-e)
hallucinés,alysine,(h-#.a-a.ll-l.u-y.c-s.i-i.n-n.é-e.s-#)
halo,alO,(h-#.a-a.l-l.o-O)
halte,alt%,(h-#.a-a.l-l.t-t.e-%)
haltère,altER,(h-#.a-a.l-l.t-t.è-E.r-R.e-#)
haltères,altER,(h-#.a-a.l-l.t-t.è-E.r-R.e-#.s-#)
haltérophile,alteRofil,(h-#.a-a.l-l.t-t.é-e.r-R.o-o.ph-f.i-i.l-l.e-#)
haltérophiles,alteRofil,(h-#.a-a.l-l.t-t.é-e.r-R.o-o.ph-f.i-i.l-l.e-#.s-#)
haltérophilie,alteRofili,(h-#.a-a.l-l.t-t.é-e.r-R.o-o.ph-f.i-i.l-l.i-i.e-#)
haltes,alt%,(h-#.a-a.l-l.t-t.e-%.s-#)
haltmeier,altmEjER,(h-#.a-a.l-l.t-t.m-m.e-E.i-j.er-ER)
hamac,amak,(h-#.a-a.m-m.a-a.c-k)
hamacs,amak,(h-#.a-a.m-m.a-a.c-k.s-#)
hamburger,@buRg9R,(h-#.am-@.b-b.u-u.r-R.g-g.er-9R)
hamburgers,@buRg9R,(h-#.am-@.b-b.u-u.r-R.g-g.e-9.r-R.s-#)
hameau,amO,(h-#.a-a.m-m.eau-O)
hameaux,amO,(h-#.a-a.m-m.eau-O.x-#)
hameçon,ams§,(h-#.a-a.m-m.e-#.ç-s.on-§)
hameçons,ams§,(h-#.a-a.m-m.e-#.ç-s.on-§.s-#)
hamelin,aml5,(h-#.a-a.m-m.e-#.l-l.in-5)
hamilcar,amilkaR,(h-#.a-a.m-m.i-i.l-l.c-k.a-a.r-R)
hampes,@p,(h-#.am-@.p-p.e-#.s-#)
hamster,amstER,(h-#.a-a.m-m.s-s.t-t.er-ER)
hamsters,amstER,(h-#.a-a.m-m.s-s.t-t.e-E.r-R.s-#)
hanche,@S,(h-#.an-@.ch-S.e-#)
hanches,@S,(h-#.an-@.ch-S.e-#.s-#)
handball,@dbal,(h-#.an-@.d-d.b-b.a-a.ll-l)
handicapé,@dikape,(h-#.an-@.d-d.i-i.c-k.a-a.p-p.é-e)
handicapés,@dikape,(h-#.an-@.d-d.i-i.c-k.a-a.p-p.é-e.s-#)
handicapés,@dikape,(h-#.an-@.d-d.i-i.c-k.a-a.p-p.é-e.s-#)
handicaps,@dikap,(h-#.an-@.d-d.i-i.c-k.a-a.p-p.s-#)
hangar,@gaR,(h-#.an-@.g-g.a-a.r-R)
hangars,@gaR,(h-#.an-@.g-g.a-a.r-R.s-#)
hanneton,ant§,(h-#.a-a.nn-n.e-#.t-t.on-§)
hannetons,ant§,(h-#.a-a.nn-n.e-#.t-t.on-§.s-#)
hannibal,anibal,(h-#.a-a.nn-n.i-i.b-b.a-a.l-l)
hans,@s,(h-#.an-@.s-s)
hantaient,@tE,(h-#.an-@.t-t.ai-E.e-#.n-#.t-#)
hantait,@tE,(h-#.an-@.t-t.ai-E.t-#)
hante,@t,(h-#.an-@.t-t.e-#)
hanté,@te,(h-#.an-@.t-t.é-e)
hanté,@te,(h-#.an-@.t-t.é-e)
hantée,@te,(h-#.an-@.t-t.é-e.e-#)
hantent,@t,(h-#.an-@.t-t.e-#.n-#.t-#)
hanter,@te,(h-#.an-@.t-t.er-e)
hantés,@te,(h-#.an-@.t-t.é-e.s-#)
happa,apa,(h-#.a-a.pp-p.a-a)
happait,apE,(h-#.a-a.pp-p.ai-E.t-#)
happant,ap@,(h-#.a-a.pp-p.an-@.t-#)
happe,ap,(h-#.a-a.pp-p.e-#)
happé,ape,(h-#.a-a.pp-p.é-e)
happent,ap,(h-#.a-a.pp-p.e-#.n-#.t-#)
happer,ape,(h-#.a-a.pp-p.er-e)
haquenée,akne,(h-#.a-a.qu-k.e-#.n-n.é-e.e-#)
harangua,aR@ga,(h-#.a-a.r-R.an-@.gu-g.a-a)
haranguait,aR@gE,(h-#.a-a.r-R.an-@.gu-g.ai-E.t-#)
harcelaient,aRs%lE,(h-#.a-a.r-R.c-s.e-%.l-l.ai-E.e-#.n-#.t-#)
harcelait,aRs%lE,(h-#.a-a.r-R.c-s.e-%.l-l.ai-E.t-#)
harcèlent,aRsEl,(h-#.a-a.r-R.c-s.è-E.l-l.e-#.n-#.t-#)
harceler,aRs%le,(h-#.a-a.r-R.c-s.e-%.l-l.er-e)
harde,aRd%,(h-#.a-a.r-R.d-d.e-%)
hardes,aRd%,(h-#.a-a.r-R.d-d.e-%.s-#)
hardi,aRdi,(h-#.a-a.r-R.d-d.i-i)
hardie,aRdi,(h-#.a-a.r-R.d-d.i-i.e-#)
hardies,aRdi,(h-#.a-a.r-R.d-d.i-i.e-#.s-#)
hardiesse,aRdjEs,(h-#.a-a.r-R.d-d.i-j.e-E.ss-s.e-#)
hardiment,aRdim@,(h-#.a-a.r-R.d-d.i-i.m-m.en-@.t-#)
hardis,aRdi,(h-#.a-a.r-R.d-d.i-i.s-#)
hareng,aR@,(h-#.a-a.r-R.en-@.g-#)
harengs,aR@,(h-#.a-a.r-R.en-@.g-#.s-#)
hargne,aRN%,(h-#.a-a.r-R.gn-N.e-%)
hargneux,aRN9,(h-#.a-a.r-R.gn-N.eu-9.x-#)
haricot,aRikO,(h-#.a-a.r-R.i-i.c-k.o-O.t-#)
haricots,aRikO,(h-#.a-a.r-R.i-i.c-k.o-O.t-#.s-#)
harmonica,aRmonika,(h-#.a-a.r-R.m-m.o-o.n-n.i-i.c-k.a-a)
harmonie,aRmoni,(h-#.a-a.r-R.m-m.o-o.n-n.i-i.e-#)
harmonies,aRmoni,(h-#.a-a.r-R.m-m.o-o.n-n.i-i.e-#.s-#)
harmonieuse,aRmonj9z,(h-#.a-a.r-R.m-m.o-o.n-n.i-j.eu-9.s-z.e-#)
harmonieux,aRmonj9,(h-#.a-a.r-R.m-m.o-o.n-n.i-j.eu-9.x-#)
harmonise,aRmoniz,(h-#.a-a.r-R.m-m.o-o.n-n.i-i.s-z.e-#)
harmonium,aRmonjom,(h-#.a-a.r-R.m-m.o-o.n-n.i-j.um-om)
harnaché,aRnaSe,(h-#.a-a.r-R.n-n.a-a.ch-S.é-e)
harnachée,aRnaSe,(h-#.a-a.r-R.n-n.a-a.ch-S.é-e.e-#)
harnachement,aRnaSm@,(h-#.a-a.r-R.n-n.a-a.ch-S.e-#.m-m.en-@.t-#)
harnachés,aRnaSe,(h-#.a-a.r-R.n-n.a-a.ch-S.é-e.s-#)
harnachés,aRnaSe,(h-#.a-a.r-R.n-n.a-a.ch-S.é-e.s-#)
harnais,aRnE,(h-#.a-a.r-R.n-n.ai-E.s-#)
harpagon,aRpag§,(h-#.a-a.r-R.p-p.a-a.g-g.on-§)
harpe,aRp%,(h-#.a-a.r-R.p-p.e-%)
harper,aRpER,(h-#.a-a.r-R.p-p.er-ER)
harpon,aRp§,(h-#.a-a.r-R.p-p.on-§)
harponnait,aRponE,(h-#.a-a.r-R.p-p.o-o.nn-n.ai-E.t-#)
harponne,aRpon,(h-#.a-a.r-R.p-p.o-o.nn-n.e-#)
harponné,aRpone,(h-#.a-a.r-R.p-p.o-o.nn-n.é-e)
harponner,aRpone,(h-#.a-a.r-R.p-p.o-o.nn-n.er-e)
harponneur,aRpon9R,(h-#.a-a.r-R.p-p.o-o.nn-n.eu-9.r-R)
harponneurs,aRpon9R,(h-#.a-a.r-R.p-p.o-o.nn-n.eu-9.r-R.s-#)
harpons,aRp§,(h-#.a-a.r-R.p-p.on-§.s-#)
harris,aRis,(h-#.a-a.rr-R.i-i.s-s)
harry,aRi,(h-#.a-a.rr-R.y-i)
hasard,azaR,(h-#.a-a.s-z.a-a.r-R.d-#)
hasarda,azaRda,(h-#.a-a.s-z.a-a.r-R.d-d.a-a)
hasardait,azaRdE,(h-#.a-a.s-z.a-a.r-R.d-d.ai-E.t-#)
hasardant,azaRd@,(h-#.a-a.s-z.a-a.r-R.d-d.an-@.t-#)
hasarde,azaRd%,(h-#.a-a.s-z.a-a.r-R.d-d.e-%)
hasardée,azaRde,(h-#.a-a.s-z.a-a.r-R.d-d.é-e.e-#)
hasarder,azaRde,(h-#.a-a.s-z.a-a.r-R.d-d.er-e)
hasardera,azaRd%Ra,(h-#.a-a.s-z.a-a.r-R.d-d.e-%.r-R.a-a)
hasardeuse,azaRd9z,(h-#.a-a.s-z.a-a.r-R.d-d.eu-9.s-z.e-#)
hasardeuses,azaRd9z,(h-#.a-a.s-z.a-a.r-R.d-d.eu-9.s-z.e-#.s-#)
hasardeux,azaRd9,(h-#.a-a.s-z.a-a.r-R.d-d.eu-9.x-#)
hasards,azaR,(h-#.a-a.s-z.a-a.r-R.d-#.s-#)
haschisch,aSiS,(h-#.a-a.sch-S.i-i.sch-S)
hase,Az,(h-#.a-A.s-z.e-#)
hâta,Ata,(h-#.â-A.t-t.a-a)
hâtaient,AtE,(h-#.â-A.t-t.ai-E.e-#.n-#.t-#)
hâtait,AtE,(h-#.â-A.t-t.ai-E.t-#)
hâtant,At@,(h-#.â-A.t-t.an-@.t-#)
hatch,atS,(h-#.a-a.t-t.ch-S)
hâte,At,(h-#.â-A.t-t.e-#)
hâte,At,(h-#.â-A.t-t.e-#)
hâté,Ate,(h-#.â-A.t-t.é-e)
hâtent,At,(h-#.â-A.t-t.e-#.n-#.t-#)
hâter,Ate,(h-#.â-A.t-t.er-e)
hâtèrent,AtER,(h-#.â-A.t-t.è-E.r-R.e-#.n-#.t-#)
hâtes,At,(h-#.â-A.t-t.e-#.s-#)
hâtez,Ate,(h-#.â-A.t-t.ez-e)
hâtif,Atif,(h-#.â-A.t-t.i-i.f-f)
hâtivement,Ativm@,(h-#.â-A.t-t.i-i.v-v.e-#.m-m.en-@.t-#)
hâtives,Ativ,(h-#.â-A.t-t.i-i.v-v.e-#.s-#)
haubans,Ob@,(h-#.au-O.b-b.an-@.s-#)
haussa,Osa,(h-#.au-O.ss-s.a-a)
haussaient,OsE,(h-#.au-O.ss-s.ai-E.e-#.n-#.t-#)
haussait,OsE,(h-#.au-O.ss-s.ai-E.t-#)
haussant,Os@,(h-#.au-O.ss-s.an-@.t-#)
hausse,Os,(h-#.au-O.ss-s.e-#)
hausse,Os,(h-#.au-O.ss-s.e-#)
haussé,Ose,(h-#.au-O.ss-s.é-e)
haussement,Osm@,(h-#.au-O.ss-s.e-#.m-m.en-@.t-#)
hausser,Ose,(h-#.au-O.ss-s.er-e)
haut,O,(h-#.au-O.t-#)
haut,O,(h-#.au-O.t-#)
haut,O,(h-#.au-O.t-#)
hautain,Ot5,(h-#.au-O.t-t.ain-5)
hautain,Ot5,(h-#.au-O.t-t.ain-5)
hautaine,OtEn,(h-#.au-O.t-t.ai-E.n-n.e-#)
hautainement,OtEnm@,(h-#.au-O.t-t.ai-E.n-n.e-#.m-m.en-@.t-#)
hautbois,ObwA,(h-#.au-O.t-#.b-b.oi-wA.s-#)
haute,Ot,(h-#.au-O.t-t.e-#)
hautement,Otm@,(h-#.au-O.t-t.e-#.m-m.en-@.t-#)
hautes,Ot,(h-#.au-O.t-t.e-#.s-#)
hauteur,Ot9R,(h-#.au-O.t-t.eu-9.r-R)
hauteurs,Ot9R,(h-#.au-O.t-t.eu-9.r-R.s-#)
hauts,O,(h-#.au-O.t-#.s-#)
hauts,O,(h-#.au-O.t-#.s-#)
havre,avR%,(h-#.a-a.v-v.r-R.e-%)
hawkins,Okins,(h-#.aw-O.k-k.in-in.s-s)
heaume,Om,(h-#.eau-O.m-m.e-#)
hebdo,EbdO,(h-#.e-E.b-b.d-d.o-O)
hebdomadaire,EbdomadER,(h-#.e-E.b-b.d-d.o-o.m-m.a-a.d-d.ai-E.r-R.e-#)
hebdomadaire,EbdomadER,(h-#.e-E.b-b.d-d.o-o.m-m.a-a.d-d.ai-E.r-R.e-#)
hebdomadaires,EbdomadER,(h-#.e-E.b-b.d-d.o-o.m-m.a-a.d-d.ai-E.r-R.e-#.s-#)
hebdomadaires,EbdomadER,(h-#.e-E.b-b.d-d.o-o.m-m.a-a.d-d.ai-E.r-R.e-#.s-#)
hébergé,ebERZe,(h-#.é-e.b-b.e-E.r-R.g-Z.é-e)
hébergement,ebERZ%m@,(h-#.é-e.b-b.e-E.r-R.g-Z.e-%.m-m.en-@.t-#)
héberger,ebERZe,(h-#.é-e.b-b.e-E.r-R.g-Z.er-e)
hébergerait,ebERZ%RE,(h-#.é-e.b-b.e-E.r-R.g-Z.e-%.r-R.ai-E.t-#)
hébergés,ebERZe,(h-#.é-e.b-b.e-E.r-R.g-Z.é-e.s-#)
hébété,ebete,(h-#.é-e.b-b.é-e.t-t.é-e)
hébétés,ebete,(h-#.é-e.b-b.é-e.t-t.é-e.s-#)
hébraïque,ebRaik,(h-#.é-e.b-b.r-R.a-a.ï-i.qu-k.e-#)
hébreux,ebR9,(h-#.é-e.b-b.r-R.eu-9.x-#)
hectare,EktaR,(h-#.e-E.c-k.t-t.a-a.r-R.e-#)
hectares,EktaR,(h-#.e-E.c-k.t-t.a-a.r-R.e-#.s-#)
hectopascal,Ektopaskal,(h-#.e-E.c-k.t-t.o-o.p-p.a-a.s-s.c-k.a-a.l-l)
hectopascals,Ektopaskal,(h-#.e-E.c-k.t-t.o-o.p-p.a-a.s-s.c-k.a-a.l-l.s-#)
hector,EktoR,(h-#.e-E.c-k.t-t.o-o.r-R)
hégire,eZiR,(h-#.é-e.g-Z.i-i.r-R.e-#)
héï,ei,(h-#.é-e.ï-i)
héla,ela,(h-#.é-e.l-l.a-a)
hélas,ela,(h-#.é-e.l-l.a-a.s-#)
hélé,ele,(h-#.é-e.l-l.é-e)
hélène,elEn,(h-#.é-e.l-l.è-E.n-n.e-#)
hèlent,El,(h-#.è-E.l-l.e-#.n-#.t-#)
hélice,elis,(h-#.é-e.l-l.i-i.c-s.e-#)
hélices,elis,(h-#.é-e.l-l.i-i.c-s.e-#.s-#)
hélico,elikO,(h-#.é-e.l-l.i-i.c-k.o-O)
hélicoptère,elikoptER,(h-#.é-e.l-l.i-i.c-k.o-o.p-p.t-t.è-E.r-R.e-#)
hélicoptères,elikoptER,(h-#.é-e.l-l.i-i.c-k.o-o.p-p.t-t.è-E.r-R.e-#.s-#)
hélium,eljom,(h-#.é-e.l-l.i-j.um-om)
héloïse,elOiz,(h-#.é-e.l-l.o-O.ï-i.s-z.e-#)
hémisphère,emisfER,(h-#.é-e.m-m.i-i.s-s.ph-f.è-E.r-R.e-#)
hémisphérique,emisfeRik,(h-#.é-e.m-m.i-i.s-s.ph-f.é-e.r-R.i-i.qu-k.e-#)
hémorragie,emoRaZi,(h-#.é-e.m-m.o-o.rr-R.a-a.g-Z.i-i.e-#)
henni,eni,(h-#.enn-en.i-i)
hennin,en5,(h-#.enn-en.in-5)
hennir,eniR,(h-#.enn-en.i-i.r-R)
hennissait,enisE,(h-#.enn-en.i-i.ss-s.ai-E.t-#)
hennissant,enis@,(h-#.enn-en.i-i.ss-s.an-@.t-#)
hennissement,enism@,(h-#.enn-en.i-i.ss-s.e-#.m-m.en-@.t-#)
hennissements,enism@,(h-#.enn-en.i-i.ss-s.e-#.m-m.en-@.t-#.s-#)
hennit,eni,(h-#.enn-en.i-i.t-#)
henri,@Ri,(h-#.en-@.r-R.i-i)
henry,@Ri,(h-#.en-@.r-R.y-i)
heptagone,Eptagon,(h-#.e-E.p-p.t-t.a-a.g-g.o-o.n-n.e-#)
hérault,eRO,(h-#.é-e.r-R.au-O.l-#.t-#)
héraut,eRO,(h-#.é-e.r-R.au-O.t-#)
herbage,ERbaZ,(h-#.e-E.r-R.b-b.a-a.g-Z.e-#)
herbe,ERb%,(h-#.e-E.r-R.b-b.e-%)
herbert,ERbER,(h-#.e-E.r-R.b-b.e-E.r-R.t-#)
herbes,ERb%,(h-#.e-E.r-R.b-b.e-%.s-#)
herbeuse,ERb9z,(h-#.e-E.r-R.b-b.eu-9.s-z.e-#)
herbeux,ERb9,(h-#.e-E.r-R.b-b.eu-9.x-#)
herbicide,ERbisid,(h-#.e-E.r-R.b-b.i-i.c-s.i-i.d-d.e-#)
herbier,ERbje,(h-#.e-E.r-R.b-b.i-j.er-e)
herbiers,ERbje,(h-#.e-E.r-R.b-b.i-j.er-e.s-#)
herbivore,ERbivoR,(h-#.e-E.r-R.b-b.i-i.v-v.o-o.r-R.e-#)
herbivore,ERbivoR,(h-#.e-E.r-R.b-b.i-i.v-v.o-o.r-R.e-#)
herbivores,ERbivoR,(h-#.e-E.r-R.b-b.i-i.v-v.o-o.r-R.e-#.s-#)
herbivores,ERbivoR,(h-#.e-E.r-R.b-b.i-i.v-v.o-o.r-R.e-#.s-#)
herculanum,ERkylanom,(h-#.e-E.r-R.c-k.u-y.l-l.a-a.n-n.um-om)
hercule,ERkyl,(h-#.e-E.r-R.c-k.u-y.l-l.e-#)
hercule,ERkyl,(h-#.e-E.r-R.c-k.u-y.l-l.e-#)
herculéen,ERkyle5,(h-#.e-E.r-R.c-k.u-y.l-l.é-e.en-5)
hère,ER,(h-#.è-E.r-R.e-#)
hères,ER,(h-#.è-E.r-R.e-#.s-#)
hérétique,eRetik,(h-#.é-e.r-R.é-e.t-t.i-i.qu-k.e-#)
hergé,ERZe,(h-#.e-E.r-R.g-Z.é-e)
hérissa,eRisa,(h-#.é-e.r-R.i-i.ss-s.a-a)
hérissaient,eRisE,(h-#.é-e.r-R.i-i.ss-s.ai-E.e-#.n-#.t-#)
hérissait,eRisE,(h-#.é-e.r-R.i-i.ss-s.ai-E.t-#)
hérisse,eRis,(h-#.é-e.r-R.i-i.ss-s.e-#)
hérissé,eRise,(h-#.é-e.r-R.i-i.ss-s.é-e)
hérissé,eRise,(h-#.é-e.r-R.i-i.ss-s.é-e)
hérissée,eRise,(h-#.é-e.r-R.i-i.ss-s.é-e.e-#)
hérissées,eRise,(h-#.é-e.r-R.i-i.ss-s.é-e.e-#.s-#)
hérissées,eRise,(h-#.é-e.r-R.i-i.ss-s.é-e.e-#.s-#)
hérissent,eRis,(h-#.é-e.r-R.i-i.ss-s.e-#.n-#.t-#)
hérisser,eRise,(h-#.é-e.r-R.i-i.ss-s.er-e)
hérissèrent,eRisER,(h-#.é-e.r-R.i-i.ss-s.è-E.r-R.e-#.n-#.t-#)
hérissés,eRise,(h-#.é-e.r-R.i-i.ss-s.é-e.s-#)
hérissés,eRise,(h-#.é-e.r-R.i-i.ss-s.é-e.s-#)
hérisson,eRis§,(h-#.é-e.r-R.i-i.ss-s.on-§)
hérisson,eRis§,(h-#.é-e.r-R.i-i.ss-s.on-§)
hérissons,eRis§,(h-#.é-e.r-R.i-i.ss-s.on-§.s-#)
hérissons,eRis§,(h-#.é-e.r-R.i-i.ss-s.on-§.s-#)
hérita,eRita,(h-#.é-e.r-R.i-i.t-t.a-a)
héritage,eRitaZ,(h-#.é-e.r-R.i-i.t-t.a-a.g-Z.e-#)
hérité,eRite,(h-#.é-e.r-R.i-i.t-t.é-e)
hériter,eRite,(h-#.é-e.r-R.i-i.t-t.er-e)
héritier,eRitje,(h-#.é-e.r-R.i-i.t-t.i-j.er-e)
